AZ,Host,Chip,VM,Start,Length,Color,Inst.,Anti-Afinidad,HOST,host_chip,Requerimiento,Numero
AZ01,1,Chip 1,CSCF PL,0,8,#02675F,1,1,1,1 - AZ01 - 1,29,1 de 29
AZ01,1,Chip 1,MTAS-1 PL,8,8,#F7C7AC,1,1,1,1 - AZ01 - 1,13,1 de 13
AZ01,1,Chip 1,INFRA,17,3,#000000,0,1,1,1 - AZ01 - 1,0,
AZ01,1,Chip 2,PDRA PL,20,6,#FF7300,1,2,1,1 - AZ01 - 1,12,3 de 12
AZ01,1,Chip 2,DRA PL,26,6,#FDD835,1,2,1,1 - AZ01 - 1,9,2 de 9
AZ01,1,Chip 2,BGF SC+PL,32,5,#3F48CC,1,1,1,1 - AZ01 - 1,15,3 de 15
AZ01,1,Chip 2,INFRA,37,3,#000000,0,1,1,1 - AZ01 - 1,0,
AZ01,2,Chip 1,CSCF PL,0,8,#02675F,1,1,2,2 - AZ01 - 2,29,2 de 29
AZ01,2,Chip 1,MTAS-1 PL,8,8,#F7C7AC,1,1,2,2 - AZ01 - 2,13,2 de 13
AZ01,2,Chip 1,INFRA,17,3,#000000,0,1,2,2 - AZ01 - 2,0,
AZ01,2,Chip 2,DRA PL,20,6,#FDD835,1,2,2,2 - AZ01 - 2,9,3 de 9
AZ01,2,Chip 2,DRA PL,26,6,#FDD835,1,2,2,2 - AZ01 - 2,9,4 de 9
AZ01,2,Chip 2,BGF SC+PL,32,5,#3F48CC,1,1,2,2 - AZ01 - 2,15,4 de 15
AZ01,2,Chip 2,INFRA,37,3,#000000,0,1,2,2 - AZ01 - 2,0,
AZ01,3,Chip 1,CSCF PL,0,8,#02675F,1,1,3,3 - AZ01 - 3,29,3 de 29
AZ01,3,Chip 1,MTAS-1 PL,8,8,#F7C7AC,1,1,3,3 - AZ01 - 3,13,3 de 13
AZ01,3,Chip 1,INFRA,17,3,#000000,0,1,3,3 - AZ01 - 3,0,
AZ01,3,Chip 2,DRA PL,20,6,#FDD835,1,2,3,3 - AZ01 - 3,9,5 de 9
AZ01,3,Chip 2,DRA PL,26,6,#FDD835,1,2,3,3 - AZ01 - 3,9,6 de 9
AZ01,3,Chip 2,BGF SC+PL,32,5,#3F48CC,1,1,3,3 - AZ01 - 3,15,5 de 15
AZ01,3,Chip 2,INFRA,37,3,#000000,0,1,3,3 - AZ01 - 3,0,
AZ01,4,Chip 1,CSCF PL,0,8,#02675F,1,1,4,4 - AZ01 - 4,29,4 de 29
AZ01,4,Chip 1,MTAS-1 PL,8,8,#F7C7AC,1,1,4,4 - AZ01 - 4,13,4 de 13
AZ01,4,Chip 1,INFRA,17,3,#000000,0,1,4,4 - AZ01 - 4,0,
AZ01,4,Chip 2,DRA PL,20,6,#FDD835,1,2,4,4 - AZ01 - 4,9,7 de 9
AZ01,4,Chip 2,DRA PL,26,6,#FDD835,1,2,4,4 - AZ01 - 4,9,8 de 9
AZ01,4,Chip 2,BGF SC+PL,32,5,#3F48CC,1,1,4,4 - AZ01 - 4,15,6 de 15
AZ01,4,Chip 2,INFRA,37,3,#000000,0,1,4,4 - AZ01 - 4,0,
AZ01,5,Chip 1,CSCF PL,0,8,#02675F,1,1,5,5 - AZ01 - 5,29,5 de 29
AZ01,5,Chip 1,MTAS-2 PL,8,8,#FADECE,2,1,5,5 - AZ01 - 5,13,1 de 13
AZ01,5,Chip 1,INFRA,17,3,#000000,0,1,5,5 - AZ01 - 5,0,
AZ01,5,Chip 2,SBG PL,20,10,#00A6A6,1,1,5,5 - AZ01 - 5,14,1 de 14
AZ01,5,Chip 2,BGF SC+PL,30,5,#3F48CC,1,1,5,5 - AZ01 - 5,15,7 de 15
AZ01,5,Chip 2,INFRA,37,3,#000000,0,1,5,5 - AZ01 - 5,0,
AZ01,6,Chip 1,CSCF PL,0,8,#02675F,1,1,6,6 - AZ01 - 6,29,6 de 29
AZ01,6,Chip 1,MTAS-2 PL,8,8,#FADECE,2,1,6,6 - AZ01 - 6,13,2 de 13
AZ01,6,Chip 1,INFRA,17,3,#000000,0,1,6,6 - AZ01 - 6,0,
AZ01,6,Chip 2,SBG PL,20,10,#00A6A6,1,1,6,6 - AZ01 - 6,14,2 de 14
AZ01,6,Chip 2,BGF SC+PL,30,5,#3F48CC,1,1,6,6 - AZ01 - 6,15,8 de 15
