AZ,Host,Chip,VM,Start,Length,Color,Inst.,Anti-Afinidad,HOST,host_chip,Requerimiento,Numero
AZ01,10,Chip 2,INFRA,37,3,#000000,0,1,10,10 - AZ01 - 10,0,
AZ01,11,Chip 1,CSCF PL,0,8,#02675F,1,1,11,11 - AZ01 - 11,29,6 de 29
AZ01,11,Chip 1,INFRA,17,3,#000000,0,1,11,11 - AZ01 - 11,0,
AZ01,11,Chip 2,BGF SC+PL,20,5,#3F48CC,1,1,11,11 - AZ01 - 11,15,11 de 15
AZ01,11,Chip 2,SBG PL,25,10,#00A6A6,1,1,11,11 - AZ01 - 11,14,9 de 14
AZ01,11,Chip 2,INFRA,37,3,#000000,0,1,11,11 - AZ01 - 11,0,
AZ01,12,Chip 1,BGF SC+PL,0,5,#3F48CC,1,1,12,12 - AZ01 - 12,15,3 de 15
AZ01,12,Chip 1,DRA PL,5,6,#FDD835,1,2,12,12 - AZ01 - 12,9,4 de 9
AZ01,12,Chip 1,PDRA PL,11,6,#FF7300,1,2,12,12 - AZ01 - 12,12,2 de 12
AZ01,12,Chip 1,INFRA,17,3,#000000,0,1,12,12 - AZ01 - 12,0,
AZ01,12,Chip 2,CSCF PL,20,8,#02675F,1,1,12,12 - AZ01 - 12,29,22 de 29
AZ01,12,Chip 2,MTAS-1 PL,28,8,#F7C7AC,1,1,12,12 - AZ01 - 12,13,11 de 13
AZ01,12,Chip 2,INFRA,37,3,#000000,0,1,12,12 - AZ01 - 12,0,
AZ01,13,Chip 1,CSCF PL,0,8,#02675F,1,1,13,13 - AZ01 - 13,29,7 de 29
AZ01,13,Chip 1,PDRA PL,8,6,#FF7300,1,2,13,13 - AZ01 - 13,12,3 de 12
AZ01,13,Chip 1,INFRA,17,3,#000000,0,1,13,13 - AZ01 - 13,0,
AZ01,13,Chip 2,BGF SC+PL,20,5,#3F48CC,1,1,13,13 - AZ01 - 13,15,12 de 15
AZ01,13,Chip 2,SBG PL,25,10,#00A6A6,1,1,13,13 - AZ01 - 13,14,10 de 14
AZ01,13,Chip 2,INFRA,37,3,#000000,0,1,13,13 - AZ01 - 13,0,
AZ01,14,Chip 1,CSCF PL,0,8,#02675F,1,1,14,14 - AZ01 - 14,29,8 de 29
AZ01,14,Chip 1,MTAS-2 PL,8,8,#FADECE,2,1,14,14 - AZ01 - 14,13,4 de 13
AZ01,14,Chip 1,INFRA,17,3,#000000,0,1,14,14 - AZ01 - 14,0,
AZ01,14,Chip 2,PDRA PL,20,6,#FF7300,1,2,14,14 - AZ01 - 14,12,8 de 12
AZ01,14,Chip 2,SBG PL,26,10,#00A6A6,1,1,14,14 - AZ01 - 14,14,11 de 14
AZ01,14,Chip 2,INFRA,37,3,#000000,0,1,14,14 - AZ01 - 14,0,
AZ01,15,Chip 1,MTAS-1 PL,0,8,#F7C7AC,1,1,15,15 - AZ01 - 15,13,3 de 13
AZ01,15,Chip 1,PDRA PL,8,6,#FF7300,1,2,15,15 - AZ01 - 15,12,4 de 12
AZ01,15,Chip 1,INFRA,17,3,#000000,0,1,15,15 - AZ01 - 15,0,
