AZ,Host,Chip,VM,Start,Length,Color,Inst.,Anti-Afinidad,HOST,host_chip,Requerimiento,Numero
AZ01,1,Chip 1,BGF SC+PL,0,5,#FF1493,1,1,1,1 - AZ01 - 1,13,1 de 13
AZ01,1,Chip 1,DRA PL,5,6,#FF0033,1,2,1,1 - AZ01 - 1,9,1 de 9
AZ01,1,Chip 1,INFRA,17,3,#000000,0,1,1,1 - AZ01 - 1,0,
AZ01,1,Chip 2,CSCF PL,20,8,#C21807,1,1,1,1 - AZ01 - 1,26,16 de 26
AZ01,1,Chip 2,MTAS PL,28,8,#27408B,1,1,1,1 - AZ01 - 1,24,15 de 24
AZ01,1,Chip 2,INFRA,37,3,#000000,0,1,1,1 - AZ01 - 1,0,
AZ01,2,Chip 1,CSCF PL,0,8,#C21807,1,1,2,2 - AZ01 - 2,26,1 de 26
AZ01,2,Chip 1,MTAS PL,8,8,#27408B,1,1,2,2 - AZ01 - 2,24,1 de 24
AZ01,2,Chip 1,INFRA,17,3,#000000,0,1,2,2 - AZ01 - 2,0,
AZ01,2,Chip 2,BGF SC+PL,20,5,#FF1493,1,1,2,2 - AZ01 - 2,13,7 de 13
AZ01,2,Chip 2,SBG PL,25,10,#5C4033,1,1,2,2 - AZ01 - 2,12,8 de 12
AZ01,2,Chip 2,INFRA,37,3,#000000,0,1,2,2 - AZ01 - 2,0,
AZ01,3,Chip 1,DRA PL,0,6,#FF0033,1,2,3,3 - AZ01 - 3,9,2 de 9
AZ01,3,Chip 1,SBG PL,6,10,#5C4033,1,1,3,3 - AZ01 - 3,12,1 de 12
AZ01,3,Chip 1,INFRA,17,3,#000000,0,1,3,3 - AZ01 - 3,0,
AZ01,3,Chip 2,CSCF PL,20,8,#C21807,1,1,3,3 - AZ01 - 3,26,17 de 26
AZ01,3,Chip 2,MTAS PL,28,8,#27408B,1,1,3,3 - AZ01 - 3,24,16 de 24
AZ01,3,Chip 2,INFRA,37,3,#000000,0,1,3,3 - AZ01 - 3,0,
AZ01,4,Chip 1,DRA PL,0,6,#FF0033,1,2,4,4 - AZ01 - 4,9,3 de 9
AZ01,4,Chip 1,SBG PL,6,10,#5C4033,1,1,4,4 - AZ01 - 4,12,2 de 12
AZ01,4,Chip 1,INFRA,17,3,#000000,0,1,4,4 - AZ01 - 4,0,
AZ01,4,Chip 2,CSCF PL,20,8,#C21807,1,1,4,4 - AZ01 - 4,26,18 de 26
AZ01,4,Chip 2,MTAS PL,28,8,#27408B,1,1,4,4 - AZ01 - 4,24,17 de 24
AZ01,4,Chip 2,INFRA,37,3,#000000,0,1,4,4 - AZ01 - 4,0,
AZ01,5,Chip 1,CSCF PL,0,8,#C21807,1,1,5,5 - AZ01 - 5,26,2 de 26
AZ01,5,Chip 1,MTAS PL,8,8,#27408B,1,1,5,5 - AZ01 - 5,24,2 de 24
AZ01,5,Chip 1,INFRA,17,3,#000000,0,1,5,5 - AZ01 - 5,0,
AZ01,5,Chip 2,MRF  SC+PL,20,17,#3F48CC,1,1,5,5 - AZ01 - 5,3,1 de 3
AZ01,5,Chip 2,INFRA,37,3,#000000,0,1,5,5 - AZ01 - 5,0,
AZ01,6,Chip 1,BGF SC+PL,0,5,#FF1493,1,1,6,6 - AZ01 - 6,13,2 de 13
AZ01,6,Chip 1,SBG PL,5,10,#5C4033,1,1,6,6 - AZ01 - 6,12,3 de 12
AZ01,6,Chip 1,INFRA,17,3,#000000,0,1,6,6 - AZ01 - 6,0,
AZ01,6,Chip 2,CSCF PL,20,8,#C21807,1,1,6,6 - AZ01 - 6,26,19 de 26
AZ01,6,Chip 2,MTAS PL,28,8,#27408B,1,1,6,6 - AZ01 - 6,24,18 de 24
AZ01,6,Chip 2,INFRA,37,3,#000000,0,1,6,6 - AZ01 - 6,0,
AZ01,7,Chip 1,CSCF PL,0,8,#C21807,1,1,7,7 - AZ01 - 7,26,3 de 26
AZ01,7,Chip 1,MTAS PL,8,8,#27408B,1,1,7,7 - AZ01 - 7,24,3 de 24
AZ01,7,Chip 1,INFRA,17,3,#000000,0,1,7,7 - AZ01 - 7,0,
AZ01,7,Chip 2,DRA PL,20,6,#FF0033,1,2,7,7 - AZ01 - 7,9,5 de 9
AZ01,7,Chip 2,SBG PL,26,10,#5C4033,1,1,7,7 - AZ01 - 7,12,9 de 12
AZ01,7,Chip 2,INFRA,37,3,#000000,0,1,7,7 - AZ01 - 7,0,
AZ01,8,Chip 1,CSCF PL,0,8,#C21807,1,1,8,8 - AZ01 - 8,26,4 de 26
AZ01,8,Chip 1,MTAS PL,8,8,#27408B,1,1,8,8 - AZ01 - 8,24,4 de 24
AZ01,8,Chip 1,INFRA,17,3,#000000,0,1,8,8 - AZ01 - 8,0,
AZ01,8,Chip 2,MRF  SC+PL,20,17,#3F48CC,1,1,8,8 - AZ01 - 8,3,2 de 3
AZ01,8,Chip 2,INFRA,37,3,#000000,0,1,8,8 - AZ01 - 8,0,
AZ01,9,Chip 1,CSCF PL,0,8,#C21807,1,1,9,9 - AZ01 - 9,26,5 de 26
AZ01,9,Chip 1,MTAS PL,8,8,#27408B,1,1,9,9 - AZ01 - 9,24,5 de 24
AZ01,9,Chip 1,INFRA,17,3,#000000,0,1,9,9 - AZ01 - 9,0,
AZ01,9,Chip 2,BGF SC+PL,20,5,#FF1493,1,1,9,9 - AZ01 - 9,13,8 de 13
AZ01,9,Chip 2,DRA PL,25,6,#FF0033,1,2,9,9 - AZ01 - 9,9,6 de 9
AZ01,9,Chip 2,DRA PL,31,6,#FF0033,1,2,9,9 - AZ01 - 9,9,7 de 9
AZ01,9,Chip 2,INFRA,37,3,#000000,0,1,9,9 - AZ01 - 9,0,
AZ01,10,Chip 1,CSCF PL,0,8,#C21807,1,1,10,10 - AZ01 - 10,26,6 de 26
AZ01,10,Chip 1,MTAS PL,8,8,#27408B,1,1,10,10 - AZ01 - 10,24,6 de 24
AZ01,10,Chip 1,INFRA,17,3,#000000,0,1,10,10 - AZ01 - 10,0,
AZ01,10,Chip 2,BGF SC+PL,20,5,#FF1493,1,1,10,10 - AZ01 - 10,13,9 de 13
AZ01,10,Chip 2,SBG PL,25,10,#5C4033,1,1,10,10 - AZ01 - 10,12,10 de 12
AZ01,10,Chip 2,INFRA,37,3,#000000,0,1,10,10 - AZ01 - 10,0,
AZ01,11,Chip 1,CSCF PL,0,8,#C21807,1,1,11,11 - AZ01 - 11,26,7 de 26
AZ01,11,Chip 1,MTAS PL,8,8,#27408B,1,1,11,11 - AZ01 - 11,24,7 de 24
AZ01,11,Chip 1,INFRA,17,3,#000000,0,1,11,11 - AZ01 - 11,0,
AZ01,11,Chip 2,INFRA,37,3,#000000,0,1,11,11 - AZ01 - 11,0,
AZ01,12,Chip 1,BGF SC+PL,0,5,#FF1493,1,1,12,12 - AZ01 - 12,13,3 de 13
AZ01,12,Chip 1,SBG PL,5,10,#5C4033,1,1,12,12 - AZ01 - 12,12,4 de 12
AZ01,12,Chip 1,INFRA,17,3,#000000,0,1,12,12 - AZ01 - 12,0,
AZ01,12,Chip 2,CSCF PL,20,8,#C21807,1,1,12,12 - AZ01 - 12,26,20 de 26
AZ01,12,Chip 2,MTAS PL,28,8,#27408B,1,1,12,12 - AZ01 - 12,24,19 de 24
AZ01,12,Chip 2,INFRA,37,3,#000000,0,1,12,12 - AZ01 - 12,0,
AZ01,13,Chip 1,BGF SC+PL,0,5,#FF1493,1,1,13,13 - AZ01 - 13,13,4 de 13
AZ01,13,Chip 1,SBG PL,5,10,#5C4033,1,1,13,13 - AZ01 - 13,12,5 de 12
AZ01,13,Chip 1,INFRA,17,3,#000000,0,1,13,13 - AZ01 - 13,0,
AZ01,13,Chip 2,CSCF PL,20,8,#C21807,1,1,13,13 - AZ01 - 13,26,21 de 26
AZ01,13,Chip 2,MTAS PL,28,8,#27408B,1,1,13,13 - AZ01 - 13,24,20 de 24
AZ01,13,Chip 2,INFRA,37,3,#000000,0,1,13,13 - AZ01 - 13,0,
AZ01,14,Chip 1,BGF SC+PL,0,5,#FF1493,1,1,14,14 - AZ01 - 14,13,5 de 13
AZ01,14,Chip 1,SBG PL,5,10,#5C4033,1,1,14,14 - AZ01 - 14,12,6 de 12
AZ01,14,Chip 1,INFRA,17,3,#000000,0,1,14,14 - AZ01 - 14,0,
AZ01,14,Chip 2,CSCF PL,20,8,#C21807,1,1,14,14 - AZ01 - 14,26,22 de 26
AZ01,14,Chip 2,MTAS PL,28,8,#27408B,1,1,14,14 - AZ01 - 14,24,21 de 24
AZ01,14,Chip 2,INFRA,37,3,#000000,0,1,14,14 - AZ01 - 14,0,
AZ01,15,Chip 1,CSCF PL,0,8,#C21807,1,1,15,15 - AZ01 - 15,26,8 de 26
AZ01,15,Chip 1,DRA PL,8,6,#FF0033,1,2,15,15 - AZ01 - 15,9,4 de 9
AZ01,15,Chip 1,INFRA,17,3,#000000,0,1,15,15 - AZ01 - 15,0,
AZ01,15,Chip 2,INFRA,37,3,#000000,0,1,15,15 - AZ01 - 15,0,
AZ01,16,Chip 1,CSCF PL,0,8,#C21807,1,1,16,16 - AZ01 - 16,26,9 de 26
AZ01,16,Chip 1,MTAS PL,8,8,#27408B,1,1,16,16 - AZ01 - 16,24,8 de 24
AZ01,16,Chip 1,INFRA,17,3,#000000,0,1,16,16 - AZ01 - 16,0,
AZ01,16,Chip 2,MRF  SC+PL,20,17,#3F48CC,1,1,16,16 - AZ01 - 16,3,3 de 3
AZ01,16,Chip 2,INFRA,37,3,#000000,0,1,16,16 - AZ01 - 16,0,
AZ01,17,Chip 1,CSCF PL,0,8,#C21807,1,1,17,17 - AZ01 - 17,26,10 de 26
AZ01,17,Chip 1,MTAS PL,8,8,#27408B,1,1,17,17 - AZ01 - 17,24,9 de 24
AZ01,17,Chip 1,INFRA,17,3,#000000,0,1,17,17 - AZ01 - 17,0,
AZ01,17,Chip 2,BGF SC+PL,20,5,#FF1493,1,1,17,17 - AZ01 - 17,13,10 de 13
