AZ,Host,Chip,VM,Start,Length,Color,Inst.,Anti-Afinidad,HOST,host_chip,Requerimiento,Numero
AZ01,12,Chip 1,MTAS PL,8,8,#27408B,1,1,12,12 - AZ01 - 12,24,5 de 24
AZ01,12,Chip 1,INFRA,17,3,#000000,0,1,12,12 - AZ01 - 12,0,
AZ01,12,Chip 2,BGF SC+PL,20,5,#FF1493,1,1,12,12 - AZ01 - 12,13,10 de 13
AZ01,12,Chip 2,DRA PL,25,6,#FF0033,1,2,12,12 - AZ01 - 12,9,5 de 9
AZ01,12,Chip 2,DRA PL,31,6,#FF0033,1,2,12,12 - AZ01 - 12,9,6 de 9
AZ01,12,Chip 2,INFRA,37,3,#000000,0,1,12,12 - AZ01 - 12,0,
AZ01,13,Chip 1,DRA PL,0,6,#FF0033,1,2,13,13 - AZ01 - 13,9,1 de 9
AZ01,13,Chip 1,SBG PL,6,10,#5C4033,1,1,13,13 - AZ01 - 13,12,6 de 12
AZ01,13,Chip 1,INFRA,17,3,#000000,0,1,13,13 - AZ01 - 13,0,
AZ01,13,Chip 2,CSCF PL,20,8,#C21807,1,1,13,13 - AZ01 - 13,26,20 de 26
AZ01,13,Chip 2,MTAS PL,28,8,#27408B,1,1,13,13 - AZ01 - 13,24,20 de 24
AZ01,13,Chip 2,INFRA,37,3,#000000,0,1,13,13 - AZ01 - 13,0,
AZ01,14,Chip 1,CSCF PL,0,8,#C21807,1,1,14,14 - AZ01 - 14,26,6 de 26
AZ01,14,Chip 1,MTAS PL,8,8,#27408B,1,1,14,14 - AZ01 - 14,24,6 de 24
AZ01,14,Chip 1,INFRA,17,3,#000000,0,1,14,14 - AZ01 - 14,0,
AZ01,14,Chip 2,MRF  SC+PL,20,17,#3F48CC,1,1,14,14 - AZ01 - 14,3,1 de 3
AZ01,14,Chip 2,INFRA,37,3,#000000,0,1,14,14 - AZ01 - 14,0,
AZ01,15,Chip 1,DRA PL,0,6,#FF0033,1,2,15,15 - AZ01 - 15,9,2 de 9
AZ01,15,Chip 1,MTAS PL,6,8,#27408B,1,1,15,15 - AZ01 - 15,24,7 de 24
AZ01,15,Chip 1,INFRA,17,3,#000000,0,1,15,15 - AZ01 - 15,0,
AZ01,15,Chip 2,CSCF PL,20,8,#C21807,1,1,15,15 - AZ01 - 15,26,21 de 26
AZ01,15,Chip 2,DRA PL,28,6,#FF0033,1,2,15,15 - AZ01 - 15,9,7 de 9
AZ01,15,Chip 2,INFRA,37,3,#000000,0,1,15,15 - AZ01 - 15,0,
AZ01,16,Chip 1,CSCF PL,0,8,#C21807,1,1,16,16 - AZ01 - 16,26,7 de 26
AZ01,16,Chip 1,MTAS PL,8,8,#27408B,1,1,16,16 - AZ01 - 16,24,8 de 24
AZ01,16,Chip 1,INFRA,17,3,#000000,0,1,16,16 - AZ01 - 16,0,
AZ01,16,Chip 2,INFRA,37,3,#000000,0,1,16,16 - AZ01 - 16,0,
AZ01,17,Chip 1,BGF SC+PL,0,5,#FF1493,1,1,17,17 - AZ01 - 17,13,6 de 13
AZ01,17,Chip 1,SBG PL,5,10,#5C4033,1,1,17,17 - AZ01 - 17,12,7 de 12
AZ01,17,Chip 1,INFRA,17,3,#000000,0,1,17,17 - AZ01 - 17,0,
AZ01,17,Chip 2,CSCF PL,20,8,#C21807,1,1,17,17 - AZ01 - 17,26,22 de 26
AZ01,17,Chip 2,MTAS PL,28,8,#27408B,1,1,17,17 - AZ01 - 17,24,21 de 24
AZ01,17,Chip 2,INFRA,37,3,#000000,0,1,17,17 - AZ01 - 17,0,
AZ01,18,Chip 1,CSCF PL,0,8,#C21807,1,1,18,18 - AZ01 - 18,26,8 de 26
AZ01,18,Chip 1,MTAS PL,8,8,#27408B,1,1,18,18 - AZ01 - 18,24,9 de 24
AZ01,18,Chip 1,INFRA,17,3,#000000,0,1,18,18 - AZ01 - 18,0,
AZ01,18,Chip 2,BGF SC+PL,20,5,#FF1493,1,1,18,18 - AZ01 - 18,13,11 de 13
AZ01,18,Chip 2,SBG PL,25,10,#5C4033,1,1,18,18 - AZ01 - 18,12,12 de 12
AZ01,18,Chip 2,INFRA,37,3,#000000,0,1,18,18 - AZ01 - 18,0,
AZ01,19,Chip 1,CSCF PL,0,8,#C21807,1,1,19,19 - AZ01 - 19,26,9 de 26
AZ01,19,Chip 1,MTAS PL,8,8,#27408B,1,1,19,19 - AZ01 - 19,24,10 de 24
AZ01,19,Chip 1,INFRA,17,3,#000000,0,1,19,19 - AZ01 - 19,0,
