AZ,Host,Chip,VM,Start,Length,Color,Inst.,Anti-Afinidad,HOST,host_chip,Numero
AZ01,12,Chip 1,CSCF PL,0,8,#02675F,1,1,12,12 - AZ01 - 12,1 de 1
AZ01,12,Chip 1,MTAS-1 PL,8,8,#F7C7AC,1,1,12,12 - AZ01 - 12,1 de 1
AZ01,12,Chip 1,INFRA,17,3,#000000,0,1,12,12 - AZ01 - 12,
AZ01,12,Chip 2,BGF SC+PL,20,5,#3F48CC,1,1,12,12 - AZ01 - 12,1 de 1
AZ01,12,Chip 2,SBG PL,25,10,#00A6A6,1,1,12,12 - AZ01 - 12,1 de 1
AZ01,12,Chip 2,INFRA,37,3,#000000,0,1,12,12 - AZ01 - 12,
AZ01,13,Chip 1,CSCF PL,0,8,#02675F,1,1,13,13 - AZ01 - 13,1 de 1
AZ01,13,Chip 1,MTAS-1 PL,8,8,#F7C7AC,1,1,13,13 - AZ01 - 13,1 de 1
AZ01,13,Chip 1,INFRA,17,3,#000000,0,1,13,13 - AZ01 - 13,
AZ01,13,Chip 2,BGF SC+PL,20,5,#3F48CC,1,1,13,13 - AZ01 - 13,1 de 1
AZ01,13,Chip 2,SBG PL,25,10,#00A6A6,1,1,13,13 - AZ01 - 13,1 de 1
AZ01,13,Chip 2,INFRA,37,3,#000000,0,1,13,13 - AZ01 - 13,
AZ01,14,Chip 1,INFRA,17,3,#000000,0,1,14,14 - AZ01 - 14,
AZ01,14,Chip 2,CSCF PL,20,8,#02675F,1,1,14,14 - AZ01 - 14,1 de 1
AZ01,14,Chip 2,MTAS-2 PL,28,8,#FADECE,2,1,14,14 - AZ01 - 14,1 de 1
AZ01,14,Chip 2,INFRA,37,3,#000000,0,1,14,14 - AZ01 - 14,
AZ01,15,Chip 1,CSCF PL,0,8,#02675F,1,1,15,15 - AZ01 - 15,1 de 1
AZ01,15,Chip 1,MTAS-2 PL,8,8,#FADECE,2,1,15,15 - AZ01 - 15,1 de 1
AZ01,15,Chip 1,INFRA,17,3,#000000,0,1,15,15 - AZ01 - 15,
AZ01,15,Chip 2,INFRA,37,3,#000000,0,1,15,15 - AZ01 - 15,
AZ01,16,Chip 1,BGF SC+PL,0,5,#3F48CC,1,1,16,16 - AZ01 - 16,1 de 1
AZ01,16,Chip 1,SBG PL,5,10,#00A6A6,1,1,16,16 - AZ01 - 16,1 de 1
AZ01,16,Chip 1,INFRA,17,3,#000000,0,1,16,16 - AZ01 - 16,
AZ01,16,Chip 2,CSCF PL,20,8,#02675F,1,1,16,16 - AZ01 - 16,1 de 1
AZ01,16,Chip 2,MTAS-1 PL,28,8,#F7C7AC,1,1,16,16 - AZ01 - 16,1 de 1
AZ01,16,Chip 2,INFRA,37,3,#000000,0,1,16,16 - AZ01 - 16,
AZ01,17,Chip 1,PDRA PL,0,6,#FF7300,1,2,17,17 - AZ01 - 17,1 de 1
AZ01,17,Chip 1,SBG PL,6,10,#00A6A6,1,1,17,17 - AZ01 - 17,1 de 1
AZ01,17,Chip 1,INFRA,17,3,#000000,0,1,17,17 - AZ01 - 17,
AZ01,17,Chip 2,CSCF PL,20,8,#02675F,1,1,17,17 - AZ01 - 17,1 de 1
AZ01,17,Chip 2,MTAS-1 PL,28,8,#F7C7AC,1,1,17,17 - AZ01 - 17,1 de 1
AZ01,17,Chip 2,INFRA,37,3,#000000,0,1,17,17 - AZ01 - 17,
AZ01,18,Chip 1,CSCF PL,0,8,#02675F,1,1,18,18 - AZ01 - 18,1 de 1
AZ01,18,Chip 1,MTAS-1 PL,8,8,#F7C7AC,1,1,18,18 - AZ01 - 18,1 de 1
AZ01,18,Chip 1,INFRA,17,3,#000000,0,1,18,18 - AZ01 - 18,
AZ01,18,Chip 2,BGF SC+PL,20,5,#3F48CC,1,1,18,18 - AZ01 - 18,1 de 1
AZ01,18,Chip 2,DRA PL,25,6,#FDD835,1,2,18,18 - AZ01 - 18,1 de 1
AZ01,18,Chip 2,PDRA PL,31,6,#FF7300,1,2,18,18 - AZ01 - 18,1 de 1
AZ01,18,Chip 2,INFRA,37,3,#000000,0,1,18,18 - AZ01 - 18,
AZ01,19,Chip 1,CSCF PL,0,8,#02675F,1,1,19,19 - AZ01 - 19,1 de 1
AZ01,19,Chip 1,MTAS-2 PL,8,8,#FADECE,2,1,19,19 - AZ01 - 19,1 de 1
AZ01,19,Chip 1,INFRA,17,3,#000000,0,1,19,19 - AZ01 - 19,
AZ01,19,Chip 2,BGF SC+PL,20,5,#3F48CC,1,1,19,19 - AZ01 - 19,1 de 1
AZ01,19,Chip 2,PDRA PL,25,6,#FF7300,1,2,19,19 - AZ01 - 19,1 de 2
AZ01,19,Chip 2,PDRA PL,31,6,#FF7300,1,2,19,19 - AZ01 - 19,2 de 2
AZ01,19,Chip 2,INFRA,37,3,#000000,0,1,19,19 - AZ01 - 19,
AZ01,20,Chip 1,CSCF PL,0,8,#02675F,1,1,20,20 - AZ01 - 20,1 de 1
AZ01,20,Chip 1,MTAS-2 PL,8,8,#FADECE,2,1,20,20 - AZ01 - 20,1 de 1
AZ01,20,Chip 1,INFRA,17,3,#000000,0,1,20,20 - AZ01 - 20,
AZ01,20,Chip 2,DRA PL,20,6,#FDD835,1,2,20,20 - AZ01 - 20,1 de 1
